ZONEID,TIMESTAMP,U10,V10,U100,V100
3,20130601 1:00,1.46548801139101,0.73109206571508,2.08082077425457,1.26592713710039
3,20130601 2:00,0.743410629142186,0.925420994691882,0.983129742915625,1.5256634900486
3,20130601 3:00,0.761583095362111,1.47986228923021,0.913230691066643,2.29282292427192
3,20130601 4:00,0.333602972550021,2.92635022102081,0.269423634562862,4.43096187096416
3,20130601 5:00,-0.499734406963639,2.92525231746727,-1.12533836713426,5.03277367843952
3,20130601 6:00,-1.04082886032832,2.82314728698793,-1.86755593084648,4.63245837157604
3,20130601 7:00,-0.746360734234037,2.70347579965194,-1.65601932656666,5.33334487038217
3,20130601 8:00,-0.400342142740381,3.56368323385151,-1.03152648175799,6.56106773457552
3,20130601 9:00,-0.52680767296475,4.1730197060669,-1.19523741898324,7.23517728977874
3,20130601 10:00,-0.444846141646317,5.44988153883537,-1.13407574861538,8.66038011304353
3,20130601 11:00,-0.539788005978981,5.83853939678898,-1.25593922716788,9.11759642506319
3,20130601 12:00,-0.573536871815983,5.02279705650783,-1.14419271664616,8.13488259483646
3,20130601 13:00,-0.0554361512193733,5.34777650835604,-0.274133465999617,8.50306556937645
3,20130601 14:00,0.283906840438392,5.71228048813173,0.253788320333484,8.96496784652662
3,20130601 15:00,0.484174835515106,5.69142032061445,0.574312262035724,8.88329816853775
3,20130601 16:00,0.821663493885125,5.80395543485243,1.06958383336042,9.03860444143461
3,20130601 17:00,0.846882426598488,5.86324222674365,1.15649778598843,9.16847261790872
3,20130601 18:00,1.25372314993026,5.50807042717306,1.82789657348523,8.84045505877309
3,20130601 19:00,1.26818694957469,5.4251787088807,1.83893326588244,8.78422347720699
3,20130601 20:00,1.29822714883619,4.56003070869019,2.05644807854407,8.121494123035
3,20130601 21:00,1.67354420627626,4.34044999798194,2.75681818358354,7.86108834649672
3,20130601 22:00,1.86824920148973,4.54136634827999,3.00008527850533,8.05589061120788
3,20130601 23:00,1.94909813283552,6.20743499077884,2.94674126525216,9.73480497511023
3,20130602 0:00,1.57155587545015,6.39737230554147,2.1953264578756,9.60895334017656
3,20130602 1:00,0.715055132196735,5.97832676680851,0.900326367858573,8.79298932164548
3,20130602 2:00,0.647548980515558,7.03873358663009,0.931610967377568,10.3104545414323
3,20130602 3:00,0.91712946782131,6.16638230602954,1.40667340451787,9.02761747811854
3,20130602 4:00,1.47671993570475,5.7292632432917,2.12332247127707,8.32982724652982
3,20130602 5:00,1.93638353432329,6.26638508441129,2.81911513835695,9.09084519560966
3,20130602 6:00,2.04963398615684,5.17138610854571,3.03694864611885,7.87352118897343
3,20130602 7:00,1.63882352362336,3.46504939313887,2.71888855100906,6.13590162756089
3,20130602 8:00,1.24755431552391,2.45936107469599,2.5549340757521,5.56151971203916
3,20130602 9:00,1.15428923754334,2.19646068876157,2.52133209849096,5.3977370703453
3,20130602 10:00,1.10765669855305,1.99897092516491,2.52596685397526,5.16539425305866
3,20130602 11:00,1.17027753662572,1.70965471097872,2.72815806197765,4.63671912126546
3,20130602 12:00,1.41054614228044,1.57254398338613,3.21886279887745,4.25125857848828
3,20130602 13:00,1.7463004230105,1.71028365927042,3.58442913770126,4.13089738133651
