ZONEID,TIMESTAMP,TARGETVAR,U10,V10,U100,V100
6,20120101 1:00,0.268101298731993,1.20557203060442,-2.41791252281291,1.46782660129595,-2.95613426421662
6,20120101 2:00,0.0345422531050212,0.981127304703608,-1.57762504124935,1.14913870753383,-1.93705093380937
6,20120101 3:00,0.020621358764373,0.613250446274467,-1.01118695180205,0.697428335913636,-1.26073538670035
6,20120101 4:00,0.00186714881648764,0.24271743724295,-0.746707212293193,0.262133504114225,-0.956474743614414
6,20120101 5:00,0.0151735384833552,-0.138440174198074,-0.501392671299474,-0.167500796712502,-0.691805948915776
6,20120101 6:00,0.0129045981493955,-0.655946849894423,-0.340830897072682,-0.779404194859658,-0.504151434641742
6,20120101 7:00,0.0223112466172699,-1.35761330068887,-0.205396827565733,-1.63188015934589,-0.389714722179831
6,20120101 8:00,0.0149253731343284,-2.27619871734407,-0.500114991398465,-2.85115853086206,-0.810039139990167
6,20120101 9:00,0.0964654163860035,-2.63964865810258,-0.613828502588262,-4.82385357484248,-1.53625126314893
6,20120101 10:00,0.284444759575046,-3.15804071733306,-1.38086233649397,-6.28540267198953,-3.22622659979023
6,20120101 11:00,0.462899280320488,-3.05666430267569,-2.33443743594699,-5.92312868973774,-5.04148573064339
6,20120101 12:00,0.594852341617329,-2.51790842216033,-2.98562829216122,-4.61781024743678,-6.37893091041151
6,20120101 13:00,0.505560085557958,-2.16906730971488,-3.88852208887421,-3.48287378741361,-7.95989307546587
6,20120101 14:00,0.616560900958391,-1.93089913903513,-4.88553830496153,-2.94568939810588,-9.28920294392153
6,20120101 15:00,0.825197055104524,-1.68476251654824,-5.41747903708159,-2.55398065479614,-9.94707845205565
6,20120101 16:00,0.974568960423536,-1.67856483180936,-5.57335598500469,-2.52850826541906,-10.1705283361045
6,20120101 17:00,0.944162796468962,-1.95082026855295,-5.23945563754101,-2.95814256624579,-9.76322041639409
6,20120101 18:00,0.898583094031032,-2.24521029364968,-4.9238687019918,-3.41381530954686,-9.33259127092131
6,20120101 19:00,0.961900710225594,-2.31869712698209,-4.97966072433586,-3.51740302634698,-9.35699720485868
6,20120101 20:00,0.95066236513395,-1.9455079673482,-5.26586102216187,-2.80134585830243,-9.74369566924419
6,20120101 21:00,0.949137920847071,-1.26951763904339,-5.61807478154,-1.54470798236655,-9.59617535744495
6,20120101 22:00,0.881128797816145,-0.311975346886669,-5.74158383863753,-0.11089548698566,-8.88406444056112
6,20120101 23:00,0.910081421869277,1.03690646735351,-6.09081634491331,1.51820532695284,-8.26198430220182
6,20120102 0:00,0.917266399593481,2.67840753962217,-5.94814208930065,3.58203491959348,-7.82159278315408
6,20120102 1:00,0.741577149880054,2.57039481357695,-5.87131653901937,3.36660012341269,-7.64340133734516
6,20120102 2:00,0.43029508041739,2.71267923356238,-4.72651293900118,3.46606408529395,-6.06518626850841
6,20120102 3:00,0.198863166353505,2.63079475254512,-3.79316179558037,3.28630369585229,-4.82638380267114
6,20120102 4:00,0.0781129979555902,2.7588912674038,-3.02389775847911,3.41736818728958,-3.87881234003849
6,20120102 5:00,0.0745441438886329,3.05562116891187,-2.18654603035351,3.76652813681027,-2.86646339323717
6,20120102 6:00,0.0267073185143167,3.49504085912328,-1.25192617219311,4.38403356682311,-1.67530717608595
6,20120102 7:00,0.120702898807625,4.61669610157251,3.91724058178633,5.9340136394728,5.23446958560876
6,20120102 8:00,0.381371054466385,3.79825666011787,7.44722789222291,5.23051332575012,10.504465900951
6,20120102 9:00,0.785656042826249,3.36491750067507,6.48892535892361,4.70055690385151,9.507106785197
