ZONEID,TIMESTAMP,U10,V10,U100,V100
3,20130101 1:00,3.51156267410301,2.04754433755521,4.56838093377618,2.61922135234558
3,20130101 2:00,3.9115854008228,1.89404804205637,5.11270660791098,2.38824292541018
3,20130101 3:00,4.29180117699627,2.28495194126008,5.66586199240866,2.8803930377039
3,20130101 4:00,4.56443802569268,2.87683365670361,6.06631532710135,3.67850150201663
3,20130101 5:00,4.7559052143071,3.26610026208866,6.38002974234698,4.24613476036768
3,20130101 6:00,4.79474237224106,3.69015936112012,6.49689355597325,4.89478659548691
3,20130101 7:00,4.50229857299834,4.22923835091204,6.20811008763456,5.71050779387968
3,20130101 8:00,3.82692039652677,5.16331447445431,5.42278526006602,7.18897101465572
3,20130101 9:00,2.70219630275927,5.59637868948837,4.01782252291464,8.24774794335306
3,20130101 10:00,1.80466958290545,5.07653790206563,2.92813238519057,8.26737356132796
3,20130101 11:00,1.44969795938905,5.00531562095417,2.31680479124337,8.1546520632157
3,20130101 12:00,1.24502613707708,5.02700976405134,1.90336658836999,8.02381461004968
3,20130101 13:00,1.22793778758613,4.9488289842106,1.84986893146552,7.95839588346666
3,20130101 14:00,1.16424484857444,4.87596940928048,1.8103949321962,8.00871798083821
3,20130101 15:00,1.03219851159897,4.55710643809756,1.59276854148773,7.51505820562334
3,20130101 16:00,0.728103564976063,4.45027301643037,1.05883076189748,7.12506195099385
3,20130101 17:00,0.487313185785508,3.72085862021989,0.702006584291934,6.32997281252342
3,20130101 18:00,0.306332029813253,3.93247884628095,0.424130405225025,6.31839873012796
3,20130101 19:00,0.0888439453830743,3.58209796908894,0.0657480434377971,5.84285490996685
3,20130101 20:00,0.00495568424571946,4.0982548454197,-0.0428054545528274,5.94601520957852
3,20130101 21:00,-0.212532400184459,4.11953966506221,-0.326914370346471,5.62848277516406
3,20130101 22:00,-0.393513556156715,3.59724293691149,-0.561680787053467,4.7543879438203
3,20130101 23:00,-0.197774280169554,3.11383193695381,-0.31964284416528,4.02371108998544
3,20130102 0:00,0.211957736033729,3.0982776456766,0.215333724879423,3.97288577164018
3,20130102 1:00,0.256518836242113,4.01434610609355,0.259884054402161,5.18909939295925
3,20130102 2:00,0.0989383266142149,4.12159894747621,0.0610525437033531,5.32091544115521
3,20130102 3:00,0.0431000155938943,4.08255891321292,-0.0150261798738904,5.26874994123085
3,20130102 4:00,-0.0750853666270295,4.01477511745908,-0.169517330205593,5.1790028445868
3,20130102 5:00,-0.223759151797699,3.94184318531886,-0.364148175185413,5.08757298988066
3,20130102 6:00,-0.513912829308199,4.27218193677748,-0.721671501934913,5.59296132785751
3,20130102 7:00,-0.878060833078755,4.07955583365421,-1.21454961296294,5.40000507007279
3,20130102 8:00,-1.15074362800008,4.06067933357086,-1.63274922232006,5.58623029560921
3,20130102 9:00,-1.0692128425839,2.73975333910191,-1.98513840207969,4.93556384493979
3,20130102 10:00,-0.966785511325768,1.78520305079615,-2.36833246377856,4.08072274940515
3,20130102 11:00,-1.23056158178986,1.66336382298544,-2.91161856343446,3.63984013714122
3,20130102 12:00,-1.89514025282926,0.987241910909098,-3.35688912964729,1.74393272053551
3,20130102 13:00,-1.92768405373067,-0.347412447256835,-2.51675598584951,-0.340443599022719
3,20130102 14:00,-1.47652420333949,-0.804309551547004,-1.59354300894283,-1.02027785610145
3,20130102 15:00,-1.30215794377297,-0.87123532456979,-1.39891216396301,-1.12124333982602
3,20130102 16:00,-1.26310538269127,-1.05914230267223,-1.48525918152001,-1.53968917792893
3,20130102 17:00,-1.15074362800008,-1.20586418968372,-1.40591327349466,-2.23635101562843
3,20130102 18:00,-1.04660346511555,-1.37017554268197,-0.998915439388181,-2.96778985327749
3,20130102 19:00,-0.728359348932252,-1.76572402170125,-0.442560601939872,-3.74578499731066
3,20130102 20:00,-0.713971563270574,-1.72711299880349,-0.203589396592948,-4.12216188386168
3,20130102 21:00,-0.802011108867031,-1.64903293027691,-0.33474351515249,-3.7687826908257
3,20130102 22:00,-0.256302952699113,-1.83179177199297,-0.239995166157518,-2.71032786977985
3,20130102 23:00,0.0982531939636587,-2.61001838906562,0.159534817781871,-3.42606096551621
3,20130103 0:00,0.386008907197212,-3.14156347095813,0.508656813093393,-4.06775270652122
3,20130103 1:00,-0.801840565535801,-2.13819349590848,-1.00128331610123,-2.67288983974737
3,20130103 2:00,-0.515970411937044,-2.06829925025324,-0.634834970582485,-2.57410581824293
3,20130103 3:00,-0.371999573711582,-2.03633541839871,-0.466416791581446,-2.5351732921206
3,20130103 4:00,-0.270840207764196,-1.93575589416312,-0.344730030380146,-2.4061729816854
3,20130103 5:00,-0.209385029816637,-1.95493419327584,-0.272088123503324,-2.43406494069841
3,20130103 6:00,-0.0957965267562615,-2.0913132091885,-0.12911774627442,-2.62233566403627
3,20130103 7:00,-0.0595448768433756,-2.18081193838119,-0.0703564585460354,-2.80828205745638
3,20130103 8:00,-0.170371349434198,-1.98519328743146,-0.197595467406711,-2.9651743269046
3,20130103 9:00,-0.350248583763851,-1.608020071548,-0.71349181242363,-3.44863494979688
3,20130103 10:00,-1.21131158264706,-2.44717720383561,-1.60092606331372,-4.33129923606296
3,20130103 11:00,-1.52342102570658,-2.26306553235352,-2.39304672938454,-5.09019295420878
3,20130103 12:00,-1.41673759882008,-2.32358372066476,-2.7123009697986,-5.6555862067018
3,20130103 13:00,-1.30142282671624,-2.44078443746471,-2.72618158894704,-6.09662780859512
3,20130103 14:00,-1.24756323255995,-2.45612707675488,-2.69148004107594,-6.35927708930102
3,20130103 15:00,-1.22443122737744,-2.48681235533523,-2.67250986157308,-6.68933193762172
3,20130103 16:00,-1.25895660824686,-2.58313003532355,-2.7460771430598,-7.15652225108974
3,20130103 17:00,-1.27242150678593,-2.81113870255254,-2.6350321898723,-7.56037457429904
3,20130103 18:00,-1.21545462835139,-2.91981573085795,-2.44903189328324,-7.75503720491072
3,20130103 19:00,-1.27621929868156,-2.97862918147028,-2.50131555874235,-7.89798349485243
3,20130103 20:00,-1.47197820821115,-3.08943713189932,-2.86128628199183,-7.89275375253749
3,20130103 21:00,-1.95049998706124,-3.79391998597318,-3.19719726538401,-7.64869911117359
